question,course,document
When can I peer-review projects in the course?,data-engineering-zoomcamp,cb257ee5
What is the video/zoom link to the stream for the 'Office Hour' or workshop sessions?,data-engineering-zoomcamp,04aa4897
Where can I participate in the Office Hour or workshop sessions as a student?,data-engineering-zoomcamp,04aa4897
How do I submit questions during the Office Hour or workshop sessions?,data-engineering-zoomcamp,04aa4897
Where can I find the video URL for the Office Hour or workshop sessions before they begin?,data-engineering-zoomcamp,04aa4897
Why shouldn't I post my questions in chat during the Office Hour or workshop sessions?,data-engineering-zoomcamp,04aa4897
Will the office hours be recorded?,data-engineering-zoomcamp,9681be3b
Where can I view the recorded office hours?,data-engineering-zoomcamp,9681be3b
Can I rewatch the recorded office hours?,data-engineering-zoomcamp,9681be3b
How soon after the live session will the recording be available?,data-engineering-zoomcamp,9681be3b
Is there a limit to how many times I can view the recorded office hours?,data-engineering-zoomcamp,9681be3b
What is the link to find the latest homework and project deadlines?,data-engineering-zoomcamp,a1daf537
Where can I check for any deadline extensions or other news?,data-engineering-zoomcamp,a1daf537
How can I stay updated on any changes to the deadlines?,data-engineering-zoomcamp,a1daf537
Is the deadline for the homework and projects also indicated in the form?,data-engineering-zoomcamp,a1daf537
Who should I follow for announcements regarding deadline extensions or updates?,data-engineering-zoomcamp,a1daf537
Is it allowed to submit homework after the due date?,data-engineering-zoomcamp,be5bfee4
What should I do if I miss the deadline for homework submission?,data-engineering-zoomcamp,be5bfee4
Are late submissions of homework accepted?,data-engineering-zoomcamp,be5bfee4
Can I turn in homework after the deadline?,data-engineering-zoomcamp,be5bfee4
Is there a grace period for late homework submissions?,data-engineering-zoomcamp,be5bfee4
What is the specific location for submitting homework?,data-engineering-zoomcamp,0e424a44
Can I use any platform for submitting my homework?,data-engineering-zoomcamp,0e424a44
Is there a particular URL I should use for the homework submission?,data-engineering-zoomcamp,0e424a44
What kind of repository should I use for submitting my homework?,data-engineering-zoomcamp,0e424a44
Is there a preferred platform for submitting homework?,data-engineering-zoomcamp,0e424a44
What is the system for points in the course management platform?,data-engineering-zoomcamp,29865466
How are homeworks graded in terms of points?,data-engineering-zoomcamp,29865466
Where can I find my points for homeworks?,data-engineering-zoomcamp,29865466
What contributes to the sum of points in the leaderboard?,data-engineering-zoomcamp,29865466
How can I earn points in the leaderboard for FAQs and Learning in Public?,data-engineering-zoomcamp,29865466
How do I know which name I am on the leaderboard?,data-engineering-zoomcamp,016d46a1
"I am not on the leaderboard, what should I do?",data-engineering-zoomcamp,016d46a1
Where can I find my display name?,data-engineering-zoomcamp,016d46a1
How do I set up my account?,data-engineering-zoomcamp,016d46a1
Can I change my display name?,data-engineering-zoomcamp,016d46a1
Is Python 3.9 still the recommended version to use in 2024?,data-engineering-zoomcamp,47972cb1
Is it okay to use Python 3.10 or 3.11 instead?,data-engineering-zoomcamp,47972cb1
What is the recommended version of Python for this course?,data-engineering-zoomcamp,47972cb1
Why is Python 3.9 still the recommended version?,data-engineering-zoomcamp,47972cb1
Will using Python 3.10 or 3.11 cause any issues with the course materials?,data-engineering-zoomcamp,47972cb1
"What are the options for setting up my environment - local machine, GCP, or GitHub Codespaces?",data-engineering-zoomcamp,ddf6c1b3
"What challenges might I face if I choose to work on my local machine, especially if I'm a Windows user?",data-engineering-zoomcamp,ddf6c1b3
What should I start with if I prefer to work on my local machine?,data-engineering-zoomcamp,ddf6c1b3
Why might someone choose to work on a virtual machine instead of a local machine?,data-engineering-zoomcamp,ddf6c1b3
What are the options for setting up a virtual machine environment?,data-engineering-zoomcamp,ddf6c1b3
Does GitHub Codespaces provide pre-installed tools like Docker and Python?,data-engineering-zoomcamp,ac25d3af
Can I use GitHub Codespaces to access Linux computing resources?,data-engineering-zoomcamp,ac25d3af
Is GitHub Codespaces a substitute for using cli/git bash to ingest data?,data-engineering-zoomcamp,ac25d3af
What can I do with GitHub Codespaces?,data-engineering-zoomcamp,ac25d3af
How can I open a GitHub repository in GitHub Codespace?,data-engineering-zoomcamp,ac25d3af
Do we really have to use GitHub codespaces? I already have PostgreSQL & Docker installed.,data-engineering-zoomcamp,251218fc
Can I use my own platform and environment for the course?,data-engineering-zoomcamp,251218fc
What are the possible options for the platform and environment for the course?,data-engineering-zoomcamp,251218fc
Is Github codespaces or GCP VM mandatory for the course?,data-engineering-zoomcamp,251218fc
Can I do the entire course from my laptop?,data-engineering-zoomcamp,251218fc
Do I need both GitHub Codespaces and GCP?,data-engineering-zoomcamp,3c0114ce
What is the best approach for the end project?,data-engineering-zoomcamp,3c0114ce
Is it necessary to learn BigQuery?,data-engineering-zoomcamp,3c0114ce
Can I set up a local environment for the course?,data-engineering-zoomcamp,3c0114ce
Which option aligns the most with the course content?,data-engineering-zoomcamp,3c0114ce
What should I do when attempting to connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
How can I open the Run command window on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
Where are the Registry Values Located in Registry Editor?,data-engineering-zoomcamp,f43f5fe7
How can I change the registry values 'Autorun' in 'HKEY_CURRENT_USER\Software\Microsoft\Command Processor'?,data-engineering-zoomcamp,f43f5fe7
Where is the 'known_hosts' file located in Windows?,data-engineering-zoomcamp,f43f5fe7
Why are we using GCP and not other cloud providers?,data-engineering-zoomcamp,d061525d
Can we use other cloud platforms like AWS?,data-engineering-zoomcamp,d061525d
What are the benefits of using GCP?,data-engineering-zoomcamp,d061525d
Is there a free trial period for GCP?,data-engineering-zoomcamp,d061525d
Do I need a credit card to sign up for a free GCP account?,data-engineering-zoomcamp,d061525d
questions,data-engineering-zoomcamp,1cd01b2c
Can I still do the course if GCP and other cloud providers are unavailable in my country?,data-engineering-zoomcamp,e4a7c3b0
Is it possible to install a home lab for the course?,data-engineering-zoomcamp,e4a7c3b0
Are there local alternatives for everything in the course?,data-engineering-zoomcamp,e4a7c3b0
Can I run most of the materials without GCP?,data-engineering-zoomcamp,e4a7c3b0
Is it possible to do the whole course locally?,data-engineering-zoomcamp,e4a7c3b0
questions,data-engineering-zoomcamp,7cd1912e
What other live zoom calls are there besides the 'Office Hour'?,data-engineering-zoomcamp,52393fb3
Will there be any other live calls during the Capstone period?,data-engineering-zoomcamp,52393fb3
When will we be informed about any additional live calls during the Capstone period?,data-engineering-zoomcamp,52393fb3
Are there any other scheduled Zoom calls for the course?,data-engineering-zoomcamp,52393fb3
Will there be any announced calls to clear questions during the Capstone period?,data-engineering-zoomcamp,52393fb3
Are we still using the NYC Trip data for January 2021? Or are we using the 2022 data?,data-engineering-zoomcamp,10515af5
Where can I find the data for the project?,data-engineering-zoomcamp,10515af5
What is the format for submitting assignments?,data-engineering-zoomcamp,10515af5
Is there a required textbook for this course?,data-engineering-zoomcamp,10515af5
Are there any recommended resources for further learning?,data-engineering-zoomcamp,10515af5
Is the 2022 repo deleted?,data-engineering-zoomcamp,cdb86a97
Where can I find the 2022 stuff?,data-engineering-zoomcamp,cdb86a97
How do I access the 2022 materials?,data-engineering-zoomcamp,cdb86a97
Are there any updates to the course content?,data-engineering-zoomcamp,cdb86a97
What should I do if I encounter issues with the 2022 materials?,data-engineering-zoomcamp,cdb86a97
Can I use Airflow for my final project?,data-engineering-zoomcamp,3e0114ad
What tools can I use for my final project?,data-engineering-zoomcamp,3e0114ad
Is there a specific tool I have to use for my final project?,data-engineering-zoomcamp,3e0114ad
Are there any restrictions on the tools I can use for my final project?,data-engineering-zoomcamp,3e0114ad
Do I have to use a specific tool for my final project?,data-engineering-zoomcamp,3e0114ad
Can I use a different tool instead of the one used in the course?,data-engineering-zoomcamp,b2799574
What are the alternative data stacks covered in the course?,data-engineering-zoomcamp,b2799574
Can I use my tool of choice for the course?,data-engineering-zoomcamp,b2799574
What support is available if I choose to use a different stack?,data-engineering-zoomcamp,b2799574
Do I need to explain my choice of tool for the peer review of my capstone project?,data-engineering-zoomcamp,b2799574
How can we contribute to the course?,data-engineering-zoomcamp,2f19301f
What should we do if we find the course useful?,data-engineering-zoomcamp,2f19301f
How can we help improve the repository?,data-engineering-zoomcamp,2f19301f
What can we do to support the course?,data-engineering-zoomcamp,2f19301f
How can we share the course with others?,data-engineering-zoomcamp,2f19301f
"Is the course compatible with Windows, Mac, and Linux operating systems?",data-engineering-zoomcamp,7c700adb
What operating systems have students successfully used in the past?,data-engineering-zoomcamp,7c700adb
I'm not familiar with Linux. Will I still be able to use it for the course?,data-engineering-zoomcamp,7c700adb
Are there any specific requirements for the operating system I use?,data-engineering-zoomcamp,7c700adb
Do you have any recommendations for the best operating system to use for the course?,data-engineering-zoomcamp,7c700adb
How do Windows users handle modules with *.sh shell scripts?,data-engineering-zoomcamp,44b14808
What can Windows users do if they encounter roadblocks with shell scripts?,data-engineering-zoomcamp,44b14808
Is there a recommended environment setup for Windows users to avoid issues with shell scripts?,data-engineering-zoomcamp,44b14808
Are there any resources or past messages that address this issue?,data-engineering-zoomcamp,44b14808
What impact do shell scripts have on Windows users in later modules?,data-engineering-zoomcamp,44b14808
What additional resources do you recommend for this course?,data-engineering-zoomcamp,76e4baf6
Are there any books you would suggest for further study?,data-engineering-zoomcamp,76e4baf6
Is there a list of recommended resources available?,data-engineering-zoomcamp,76e4baf6
Do you have any recommendations for supplementary reading materials?,data-engineering-zoomcamp,76e4baf6
Where can I find additional materials to supplement this course?,data-engineering-zoomcamp,76e4baf6
What is Project Attempt #1 and Project Attempt #2 exactly?,data-engineering-zoomcamp,48b533a8
How many attempts do I have for a project?,data-engineering-zoomcamp,48b533a8
What happens if I fail the first attempt for a project?,data-engineering-zoomcamp,48b533a8
Can I submit the project after the first deadline?,data-engineering-zoomcamp,48b533a8
What is the purpose of having two project attempts?,data-engineering-zoomcamp,48b533a8
How do I troubleshoot issues with my code?,data-engineering-zoomcamp,954044d1
What are some steps I can take to solve the problem on my own?,data-engineering-zoomcamp,954044d1
Where can I search for solutions to common problems?,data-engineering-zoomcamp,954044d1
What information should I include when asking for help in Slack?,data-engineering-zoomcamp,954044d1
What are some best practices for asking questions on Stackoverflow?,data-engineering-zoomcamp,954044d1
How should I ask questions when I need additional help?,data-engineering-zoomcamp,a820b9b3
What information should I include when asking a question?,data-engineering-zoomcamp,a820b9b3
Why is it important to provide as much information as possible when asking a question?,data-engineering-zoomcamp,a820b9b3
What should I do if the troubleshooting guide does not help resolve the issue?,data-engineering-zoomcamp,a820b9b3
Why is it crucial to mention what I have tried that did not work when asking for help?,data-engineering-zoomcamp,a820b9b3
questions,data-engineering-zoomcamp,f2945cd2
Can I use spaces instead of tabs in VS Code for formatting?,data-engineering-zoomcamp,eb9d376f
How can I prevent the error 'missing separator' in Makefile?,data-engineering-zoomcamp,eb9d376f
What is the recommended way to handle tabs in VS Code for Makefile?,data-engineering-zoomcamp,eb9d376f
Where can I find more information on converting tabs to spaces in VS Code?,data-engineering-zoomcamp,eb9d376f
How can I ensure proper tab usage for Makefile in VS Code?,data-engineering-zoomcamp,eb9d376f
How can I open an HTML file with a Windows browser from Linux running on WSL?,data-engineering-zoomcamp,72f25f6d
What do I need to install to open HTML files from the guest with wslview?,data-engineering-zoomcamp,72f25f6d
Can I customize which browser to use when opening HTML files from Linux on WSL?,data-engineering-zoomcamp,72f25f6d
What command should I use to open an HTML file with wslview?,data-engineering-zoomcamp,72f25f6d
How do I set the environment variable to specify which browser to use when opening HTML files from Linux on WSL?,data-engineering-zoomcamp,72f25f6d
How do I set up Chrome Remote Desktop for Linux on Compute Engine?,data-engineering-zoomcamp,a1e59afc
"When trying to download the 2021 Taxi Data from the TLC website, I get an error. What should I do?",data-engineering-zoomcamp,a1e59afc
What is the backup link for the 2021 Taxi Data from the TLC website?,data-engineering-zoomcamp,a1e59afc
How do I unzip the 'gz' file for the Taxi Data?,data-engineering-zoomcamp,a1e59afc
How can I provide the output in a parsable JSON format?,data-engineering-zoomcamp,a1e59afc
What is the issue with handling the taxi data files that are available as *.csv.gz?,data-engineering-zoomcamp,71c10610
What is the alternative to storing the data file with the csv.gz extension?,data-engineering-zoomcamp,71c10610
How can we parse the file name from the URL for the yellow taxi data?,data-engineering-zoomcamp,71c10610
What should we replace csv_name = 'output.csv' with in order to use the file name from the URL?,data-engineering-zoomcamp,71c10610
Will there be an issue when using pd.read_csv if the file name really has the extension csv.gz instead of csv?,data-engineering-zoomcamp,71c10610
Where can I find the Data Dictionary for NY Taxi data?,data-engineering-zoomcamp,17a5aea1
Is there a specific document for Yellow Trips?,data-engineering-zoomcamp,17a5aea1
Is there a specific document for Green Trips?,data-engineering-zoomcamp,17a5aea1
What does the Data Dictionary for Yellow Trips contain?,data-engineering-zoomcamp,17a5aea1
What does the Data Dictionary for Green Trips contain?,data-engineering-zoomcamp,17a5aea1
How do I unzip the downloaded parquet file in the command line?,data-engineering-zoomcamp,5a275db7
How can I import the csv file with pandas?,data-engineering-zoomcamp,5a275db7
What line should be added in the ingest_data.py script?,data-engineering-zoomcamp,5a275db7
What should be edited in the code that downloads the files?,data-engineering-zoomcamp,5a275db7
What is the process to convert the download .parquet file to csv and rename it?,data-engineering-zoomcamp,5a275db7
How do I install wget on Ubuntu?,data-engineering-zoomcamp,7ec0f9b0
What is the easiest way to install wget on MacOS?,data-engineering-zoomcamp,7ec0f9b0
"On Windows, what is the easiest way to install wget?",data-engineering-zoomcamp,7ec0f9b0
How can I install wget on MS Windows?,data-engineering-zoomcamp,7ec0f9b0
What is an alternative to using wget?,data-engineering-zoomcamp,7ec0f9b0
How can I fix the 'wget - ERROR: cannot verify certificate' error on MacOS?,data-engineering-zoomcamp,bb1ba786
Is there a way to run the wget command in a Jupyter Notebook or CLI?,data-engineering-zoomcamp,bb1ba786
What should I do if I installed wget with pip and want to use it for the command?,data-engineering-zoomcamp,bb1ba786
What is the alternative method to download a website with wget when getting a certificate error?,data-engineering-zoomcamp,bb1ba786
Can I provide the output in parsable JSON without using code blocks?,data-engineering-zoomcamp,bb1ba786
How can I use the backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
What is the command to type in the terminal to use backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
Is there a special setting I need to include in .bashrc to use the backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
What is the escape character for using backslash in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
How can I configure Git Bash for Windows to use backslash as an escape character?,data-engineering-zoomcamp,2f83dbe7
How can I store my account-specific secrets for GitHub Codespaces?,data-engineering-zoomcamp,543ff080
Where can I find instructions on storing secrets for GitHub Codespaces?,data-engineering-zoomcamp,543ff080
What is the process for managing my secrets in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
Is there a guide available for storing secrets in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
How can I ensure my secrets are available in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
questions,data-engineering-zoomcamp,d407d65b
How do I resolve the error 'Error during connect: In the default daemon configuration on Windows' when running Docker on Windows 10 Pro?,data-engineering-zoomcamp,c9375c56
What are the constraints for using Docker with Hyper-V as its backend on Windows 10/11 Pro?,data-engineering-zoomcamp,c9375c56
How can I enable Hyper-V on Windows 10/11 Pro in order to use it as the backend for Docker?,data-engineering-zoomcamp,c9375c56
Can Windows 10/11 Home users use Hyper-V as the backend for Docker?,data-engineering-zoomcamp,c9375c56
What are the steps to install WSL2 for running Docker on Windows 10/11 Home?,data-engineering-zoomcamp,c9375c56
Why am I encountering a 'permission denied' error when creating a PostgreSQL Docker container for the New York Taxi Database with a mounted volume on macOS M1?,data-engineering-zoomcamp,e866156b
How can I fix the error message encountered when running a docker command for a PostgreSQL Docker container with a mounted volume?,data-engineering-zoomcamp,e866156b
Do I need to perform a docker login to fetch the public Docker Images being used throughout the Data Engineering Zoomcamp?,data-engineering-zoomcamp,e866156b
When is docker pull performed and how does it fetch images from a repository?,data-engineering-zoomcamp,e866156b
What should I do when I get a 'denied: requested access to the resource is denied' message after performing a docker pull?,data-engineering-zoomcamp,e866156b
How can I delete a local folder that is mounted to a Docker volume?,data-engineering-zoomcamp,16370470
What should I do if I encounter access errors when trying to delete a local folder mounted to a Docker volume?,data-engineering-zoomcamp,16370470
What are the commands to use in order to delete a folder that is mounted to a Docker volume?,data-engineering-zoomcamp,16370470
Why is it not possible to simply delete a folder that is mounted to a Docker volume?,data-engineering-zoomcamp,16370470
What are some potential issues that may arise when trying to delete a folder mounted to a Docker volume?,data-engineering-zoomcamp,16370470
Why won't Docker start or is stuck in settings on Windows 10 / 11?,data-engineering-zoomcamp,316df755
How can I ensure I'm running the latest version of Docker for Windows?,data-engineering-zoomcamp,316df755
What should I do if Docker is stuck on starting?,data-engineering-zoomcamp,316df755
How can the Pro Edition of Windows run Docker?,data-engineering-zoomcamp,316df755
What are the options for running Docker on Windows 10 / 11 Pro Edition?,data-engineering-zoomcamp,316df755
Should I run docker commands from the windows file system or a file system of a Linux distribution in WSL?,data-engineering-zoomcamp,f3aa9252
What should I do if I'm running a Home Edition of Windows 10 or 11?,data-engineering-zoomcamp,f3aa9252
How can I make Docker work with WSL2?,data-engineering-zoomcamp,f3aa9252
What can I try if Docker remains stuck after setting up WSL2?,data-engineering-zoomcamp,f3aa9252
Is there an option to reset Docker to factory defaults or do a fresh install?,data-engineering-zoomcamp,f3aa9252
questions,data-engineering-zoomcamp,a4abe7a5
What error might I encounter when running Docker on Windows?,data-engineering-zoomcamp,fb930700
How can I fix the 'The input device is not a TTY' error on Windows?,data-engineering-zoomcamp,fb930700
What command can I use to prefix the docker command on Windows?,data-engineering-zoomcamp,fb930700
Is there an alias I can create to fix the TTY error on Windows?,data-engineering-zoomcamp,fb930700
Where can I find the source for using winpty with Docker on Windows?,data-engineering-zoomcamp,fb930700
How can I fix the error 'Cannot pip install on Docker container (Windows)'?,data-engineering-zoomcamp,aa187680
What might be causing the error 'Cannot pip install on Docker container (Windows)'?,data-engineering-zoomcamp,aa187680
Is there a possible solution for the error 'Cannot pip install on Docker container (Windows)'?,data-engineering-zoomcamp,aa187680
What command can I use to run Docker container with a different DNS on Windows?,data-engineering-zoomcamp,aa187680
How can I successfully install python packages on a Docker container in Windows?,data-engineering-zoomcamp,aa187680
How do I solve the issue of Docker - ny_taxi_postgres_data being empty even after running the docker script?,data-engineering-zoomcamp,b000e899
What command should I use for Windows to properly run the docker script?,data-engineering-zoomcamp,b000e899
What are the environment variables needed for the docker script?,data-engineering-zoomcamp,b000e899
What is the purpose of quoting the absolute path in the -v parameter?,data-engineering-zoomcamp,b000e899
How can I make all the files visible in the Vs-code ny_taxi folder?,data-engineering-zoomcamp,b000e899
How do I set up Docker on Mac?,data-engineering-zoomcamp,9c66759f
"I read an article about setting up Docker on macOS, but it seems out of date. What method do you recommend?",data-engineering-zoomcamp,9c66759f
Where can I find details about setting up Docker on Mac?,data-engineering-zoomcamp,9c66759f
Is there a specific method for setting up Docker on Mac that you recommend?,data-engineering-zoomcamp,9c66759f
What has been your experience with setting up Docker on Mac?,data-engineering-zoomcamp,9c66759f
"What command can solve the issue of changing permissions of directory ""/var/lib/postgresql/data""?",data-engineering-zoomcamp,e3106e07
How can I create a local docker volume and map it to the postgres data directory?,data-engineering-zoomcamp,e3106e07
How can I verify that the command works in WSL2 Ubuntu 22.04?,data-engineering-zoomcamp,e3106e07
"What could cause the error: ""initdb: error: directory ""/var/lib/postgresql/data"" exists but is not empty""?",data-engineering-zoomcamp,e3106e07
What are the default settings for the Docker run command to fix permissions on an existing directory?,data-engineering-zoomcamp,e3106e07
What could be the problem if I receive the error 'Docker - invalid reference format: repository name must be lowercase' when mounting volumes with Docker on Windows?,data-engineering-zoomcamp,72229da5
What are some alternative options to replace the '-v' part when mapping volumes on Windows with Docker?,data-engineering-zoomcamp,72229da5
How can I add winpty before the whole command?,data-engineering-zoomcamp,72229da5
What should I do if Docker automatically creates a folder called 'ny_taxi_postgres_data;C'?,data-engineering-zoomcamp,72229da5
How can I use a volume name instead of the path for the Docker command?,data-engineering-zoomcamp,72229da5
How do I fix the error 'invalid mode' when using Docker and getting the response from daemon?,data-engineering-zoomcamp,58c9f99f
What should I replace the mounting path with to resolve the 'invalid mode' error in Docker?,data-engineering-zoomcamp,58c9f99f
What is the suggested mounting path to replace '/Program Files/Git/var/lib/postgresql/data' in Docker?,data-engineering-zoomcamp,58c9f99f
How can I change the mounting path to resolve the error in Docker and Terraform?,data-engineering-zoomcamp,58c9f99f
What is the alternative mounting path for '/Program Files/Git/var/lib/postgresql/data' in Docker and Terraform?,data-engineering-zoomcamp,58c9f99f
I'm getting the error message 'error while creating buildmount source path'. What should I do?,data-engineering-zoomcamp,bc42139a
What should I do if I run the docker command a second time and get an error?,data-engineering-zoomcamp,bc42139a
How can I resolve the 'error response from daemon' when trying to create a buildmount source path?,data-engineering-zoomcamp,bc42139a
What are the potential reasons for receiving the error message about buildmount source path?,data-engineering-zoomcamp,bc42139a
Is there a specific command or solution for the error response from daemon when creating a buildmount source path?,data-engineering-zoomcamp,bc42139a
What caused the error 'error checking context: 'can't stat '/home/user/repos/data-engineering/week_1_basics_n_setup/2_docker_sql/ny_taxi_postgres_data'' when running the command 'docker build -t taxi_ingest:v001'?,data-engineering-zoomcamp,a146e3ee
How did changing the user id of the directory ny_taxi_postgres_data to 999 lead to the permission issue?,data-engineering-zoomcamp,a146e3ee
What can I do to fix the error when running the docker build command?,data-engineering-zoomcamp,a146e3ee
Where can I find a more complete explanation of the error and its solution?,data-engineering-zoomcamp,a146e3ee
How can I change the permission of the directory on Ubuntu and on Windows?,data-engineering-zoomcamp,a146e3ee
What should I do if I encounter the error 'ERRO[0000] error waiting for container: context canceled' in Docker?,data-engineering-zoomcamp,593a85ba
How can I check if I have installed Docker via snap?,data-engineering-zoomcamp,593a85ba
What should I do if I get the response 'error: unknown command 'status' when running 'sudo snap status docker'?,data-engineering-zoomcamp,593a85ba
What should I do if I encounter the error 'Bind for 0.0.0.0:5432 failed: port is a'?,data-engineering-zoomcamp,593a85ba
Where can I deinstall Docker and install it via the official website?,data-engineering-zoomcamp,593a85ba
What caused the Docker build error 'can’t stat '/home/fhrzn/Projects/…./ny_taxi_postgres_data''?,data-engineering-zoomcamp,50bd1a71
Why did the folder seem empty when it actually wasn't?,data-engineering-zoomcamp,50bd1a71
How can I fix the authorization rights issue in PopOS Linux?,data-engineering-zoomcamp,50bd1a71
What should I do if my user doesn't have authorization rights to the host folder?,data-engineering-zoomcamp,50bd1a71
What is the solution to the Docker build error checking context?,data-engineering-zoomcamp,50bd1a71
Why am I getting the error 'failed to solve with frontend dockerfile.v0: failed to read dockerfile' when building a Docker container?,data-engineering-zoomcamp,f409f751
How can I fix the 'permission denied' error when trying to run the docker build command?,data-engineering-zoomcamp,f409f751
What is the command to grant permissions to a folder in Ubuntu/Linux systems?,data-engineering-zoomcamp,f409f751
What does the command 'sudo chmod -R 755 ny_taxi_postgres_data' do?,data-engineering-zoomcamp,f409f751
"If I still see problems, what permission should I use instead of 755?",data-engineering-zoomcamp,f409f751
How can I find the network name in Docker?,data-engineering-zoomcamp,7d217da3
What command should I use to list all the Docker networks?,data-engineering-zoomcamp,7d217da3
Where can I get the network name in Docker?,data-engineering-zoomcamp,7d217da3
What is the command to display all Docker network names?,data-engineering-zoomcamp,7d217da3
How do I retrieve the network name using Docker?,data-engineering-zoomcamp,7d217da3
